name,graduationRate,tuitionFees1314,publicprivate,enrollmentTotal,studentFactultyRatio,percentFTFirstTimeUGAnyAid,percentFTFirstTimeUGAnyGrantAid,avgAmountFTFirstTimeUGGrantAid,percentFTFirstTimeUGFederalGrantAid,avgAmountFTFirstTimeUGFederal,percentFTFirstTimeUGPell,avgAmountFTFirstTimeUGPell,percentFTFirstTimeUGOtherFederal,avgAmountFTFirstTimeUGOtherFederal,percentFTFirstTimeUGStateGrant,avgAmountFTFirstTimeUGStateGrant,percentFTFirstTimeUGInstitutionGrant,avgAmountFTFirstTimeUGInstitutionGrant,percentFTFirstTimeUGLoanAid,avgAmountFTFirstTimeUGLoanAid,percentFTFirstTimeUGFederalLoan,avgAmountFTFirstTimeUGFederalLoan,percentFTFirstTimeUGOtherLoan,avgAmountFTFirstTimeUGOtherLoan,avgNetPriceScholGrantAid1213,avgNetPriceUnder30KTitleIV1213,avgNetPrice30Kto48KTitleIV1213,avgNetPrice48Kto75KTitleIV1213,avgNetPrice75Kto110KTitleIV1213,avgNetPriceOver110KTitleIV1213
Cogswell College,31,16160,Private for-profit,472,10,100,100,8764,45,5202,45,5033,14,556,18,4056,100,5702,78,7267,78,6613,6,8730,23030,23201,19461,23956,26243,20719
Western University of Health Sciences,,,Private not-for-profit,3748,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Columbia College-Hollywood,49,18804,Private not-for-profit,314,11,72,54,6637,48,4198,48,4091,48,107,2,4920,39,3813,70,7785,70,6650,7,12110,22738,23100,26392,26562,29654,22194
Dell'Arte International School of Physical Theatre,,12750,Private not-for-profit,29,10,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Design Institute of San Diego,67,20470,Private for-profit,181,12,75,63,7455,63,5610,63,5210,50,500,13,9224,0,,75,7564,75,7564,0,,22745,25610,0,15053,,26513
Dominican University of California,54,40600,Private not-for-profit,2147,10,98,98,23353,31,5214,31,4288,16,1783,28,8602,98,19263,92,11424,92,9636,9,19455,32734,31343,27066,28871,32078,25089
Dominican School of Philosophy & Theology,,,Private not-for-profit,89,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Emperor's College of Traditional Oriental Medicine,,,Private for-profit,203,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Fielding Graduate University,,,Private not-for-profit,1190,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Five Branches University,,,Private for-profit,402,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Franciscan School of Theology,,,Private not-for-profit,44,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Fresno Pacific University,54,25716,Private not-for-profit,3393,13,99,99,18313,55,4413,55,4378,2,1153,55,8359,97,11302,68,5805,68,5521,2,11595,15742,15109,13144,15370,20075,11915
Fuller Theological Seminary in California,,,Private not-for-profit,2694,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Golden Gate University-San Francisco,,14400,Private not-for-profit,3227,14,,,,,,,,,,,,,,,,,,,,0,,0,,,0
