name,graduationRate,tuitionFees1314,publicprivate,enrollmentTotal,studentFactultyRatio,percentFTFirstTimeUGAnyAid,percentFTFirstTimeUGAnyGrantAid,avgAmountFTFirstTimeUGGrantAid,percentFTFirstTimeUGFederalGrantAid,avgAmountFTFirstTimeUGFederal,percentFTFirstTimeUGPell,avgAmountFTFirstTimeUGPell,percentFTFirstTimeUGOtherFederal,avgAmountFTFirstTimeUGOtherFederal,percentFTFirstTimeUGStateGrant,avgAmountFTFirstTimeUGStateGrant,percentFTFirstTimeUGInstitutionGrant,avgAmountFTFirstTimeUGInstitutionGrant,percentFTFirstTimeUGLoanAid,avgAmountFTFirstTimeUGLoanAid,percentFTFirstTimeUGFederalLoan,avgAmountFTFirstTimeUGFederalLoan,percentFTFirstTimeUGOtherLoan,avgAmountFTFirstTimeUGOtherLoan,avgNetPriceScholGrantAid1213,avgNetPriceUnder30KTitleIV1213,avgNetPrice30Kto48KTitleIV1213,avgNetPrice48Kto75KTitleIV1213,avgNetPrice75Kto110KTitleIV1213,avgNetPriceOver110KTitleIV1213
Graduate Theological Union,,,Private not-for-profit,253,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Harvey Mudd College,91,46509,Private not-for-profit,807,8,75,71,29814,16,6845,16,4690,14,2474,9,9223,71,27197,41,5476,40,5092,2,9063,30799,30171,11942,10771,23229,6901
Holy Names University,35,33020,Private not-for-profit,1343,10,100,100,22797,48,4434,48,4239,9,1042,36,6221,100,18385,89,7807,89,6394,8,15164,24220,20681,10733,16744,45586,18302
Pacifica Graduate Institute,,,Private for-profit,1060,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Humboldt State University,40,7144,Public,8293,21,74,61,9873,46,4675,46,4629,2,1097,44,2716,48,5459,61,5787,61,5376,3,9763,13193,10579,12620,16412,20049,22171
Humphreys College-Stockton and Modesto Campuses,93,11277,Private not-for-profit,990,22,73,63,7075,63,4985,63,4802,11,1100,18,6801,4,2440,68,5109,68,5109,0,,14544,19137,13782,13926,21029,18397
John F Kennedy University,,,Private not-for-profit,1356,4,,,,,,,,,,,,,,,,,,,,0,,0,,,0
American Jewish University,81,27900,Private not-for-profit,229,3,92,92,10927,25,6050,25,5550,25,500,0,,92,9277,50,7000,42,5400,8,15000,35539,27768,0,40516,,36536
Life Pacific College,51,12500,Private not-for-profit,627,22,94,87,8156,58,4165,58,4063,21,285,10,3925,73,5778,75,6649,75,6518,1,6585,16329,16499,16318,15823,17488,17063
The Art Institute of California-Argosy University San Diego,43,18748,Private for-profit,1869,24,90,82,6030,62,4591,61,4281,13,1869,28,4955,59,1232,79,8538,79,7827,3,19042,24642,23989,23452,24454,27587,23929
University of La Verne,59,35000,Private not-for-profit,8796,17,97,96,23466,47,4783,47,4428,7,2595,45,8512,96,17174,73,6937,73,6178,14,4096,21720,18542,16494,20984,25957,12922
Laguna College of Art and Design,63,26500,Private not-for-profit,544,12,100,100,10685,38,4108,34,4428,4,1333,24,8792,100,7036,71,6749,71,5318,9,11043,29380,25712,36236,34163,34463,23631
Life Chiropractic College West,,,Private not-for-profit,456,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Lincoln University,76,10105,Private not-for-profit,492,36,22,22,5148,22,5000,22,5000,0,,0,,3,1185,22,7000,22,7000,0,,15577,14220,0,,,14330
Southern California Seminary,0,13692,Private not-for-profit,189,12,,,,,,,,,,,,,,,,,,,,0,,0,,,0
La Sierra University,49,29103,Private not-for-profit,2440,14,100,100,16418,55,4838,55,4559,16,935,47,7158,99,10406,75,6854,75,6057,4,14820,23454,23027,20085,22832,26470,18661
Loma Linda University,,,Private not-for-profit,4693,3,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Southern California University of Health Sciences,,,Private not-for-profit,968,16,,,,,,,,,,,,,,,,,,,,0,,0,,,0
The Master's College and Seminary,54,28800,Private not-for-profit,1499,11,99,95,14478,33,4455,33,4217,9,909,24,8086,93,11208,62,6827,62,5368,6,14372,26451,24223,20687,22569,24656,18696
The Art Institute of California-Argosy University San Francisco,36,18748,Private for-profit,1317,15,93,78,6571,65,4324,65,4108,13,1100,29,4853,41,2171,84,8339,83,8378,1,3078,26878,26828,25624,27277,30914,26379
Loyola Marymount University,76,40265,Private not-for-profit,9661,11,90,84,18880,20,5142,20,4410,13,1346,18,8883,84,15835,49,7729,47,5319,29,4352,36650,32654,23650,28746,37865,25484
Menlo College,41,37100,Private not-for-profit,745,15,98,98,22144,33,4760,33,4512,15,525,24,6746,98,18902,64,7352,63,6155,5,17548,29307,28718,20642,24611,31077,22656
Mills College,61,41494,Private not-for-profit,1595,10,100,99,27716,42,4740,42,4165,25,971,37,8507,99,22574,76,7444,76,6147,12,8145,26773,26465,20836,23010,29771,17724
Monterey Institute of International Studies,,,Private not-for-profit,731,1,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Mount St Mary's College,64,33852,Private not-for-profit,3274,12,100,100,21550,70,4648,70,4375,6,3004,66,6778,100,13815,97,8339,97,6810,15,10288,26473,24478,22612,27571,31631,20095
The National Hispanic University,46,8196,Private for-profit,813,8,98,93,6015,77,4615,77,4215,36,861,16,4379,66,2024,54,5538,54,5538,0,,17171,10066,15164,15159,22545,9487
National University,31,12096,Private not-for-profit,18207,22,41,25,2969,25,2961,24,2951,1,3250,0,,0,500,40,10497,39,9285,13,4658,21142,20128,22478,23106,23268,22018
Naval Postgraduate School,,,Public,2870,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Newschool of Architecture and Design,35,24536,Private for-profit,514,9,94,88,8617,56,4252,56,3942,25,698,31,6025,81,4019,81,5127,81,5127,0,,36617,32799,36957,,34980,32163
Northwestern Polytechnic University,48,8300,Private not-for-profit,988,29,2,2,1000,0,,0,,0,,0,,2,1000,0,,0,,0,,11820,10660,0,,,0
Notre Dame de Namur University,48,31126,Private not-for-profit,2030,11,100,97,20087,49,4684,49,4390,13,1104,34,6785,97,15340,76,6513,76,6484,1,4000,27008,27304,22841,24591,30048,23845
Occidental College,88,46652,Private not-for-profit,2128,10,69,65,30929,21,6864,21,4238,16,3479,12,9189,65,27170,45,7418,40,5138,24,5284,29726,27846,14200,18471,26806,12203
Otis College of Art and Design,57,39430,Private not-for-profit,1086,5,91,91,18443,49,4469,49,4452,2,1500,31,6439,91,13809,62,6730,62,5678,3,23980,34347,33443,26954,32936,40258,28431
Hope International University,45,26050,Private not-for-profit,1356,14,98,98,16555,51,4744,51,4456,16,928,48,7497,96,10719,86,6790,86,6630,2,7750,19961,21787,22558,22213,27091,18220
Palo Alto University,,,Private not-for-profit,948,16,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Pacific Lutheran Theological Seminary,,,Private not-for-profit,99,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Pacific Oaks College,,,Private not-for-profit,1072,10,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Pacific School of Religion,,,Private not-for-profit,183,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Pacific States University,100,19340,Private not-for-profit,173,12,100,100,1387,100,1387,100,1387,0,,0,,0,,100,1500,100,1500,0,,30753,,0,,,0
Pacific Union College,45,27480,Private not-for-profit,1647,16,100,100,15288,50,5426,50,4496,32,1465,35,7151,100,10084,83,9943,79,7894,49,4159,23449,23792,17998,23245,24752,16826
University of the Pacific,57,39810,Private not-for-profit,6421,14,91,90,19619,29,4815,29,4407,25,472,30,8612,90,15190,56,5867,56,5862,0,2463,33437,27766,24320,28451,34956,19280
Pepperdine University,80,44902,Private not-for-profit,7315,13,72,68,34999,22,5213,22,4392,9,2007,15,9008,66,32171,50,7230,48,5917,6,12438,23773,22436,18588,19670,24090,17305
Pitzer College,82,45018,Private not-for-profit,1081,12,41,33,36127,14,6068,14,3943,8,3745,5,8868,33,32554,28,5257,24,3742,4,13455,23139,21637,14214,17248,20059,7977
Point Loma Nazarene University,72,30356,Private not-for-profit,3359,14,93,86,14057,27,4590,27,4354,6,1145,25,8528,82,10657,64,8030,64,5692,9,16341,29013,27160,23875,27085,31148,21606
Pomona College,96,43580,Private not-for-profit,1610,7,68,57,39595,20,6087,19,4618,17,1986,10,8780,57,35988,28,5072,17,3863,17,4590,17419,18255,5169,6964,15107,3405
Westwood College-South Bay,60,15122,Private for-profit,571,22,100,88,4923,86,4893,86,4121,41,1620,0,,8,1550,92,13126,92,11248,82,2112,24862,19863,0,,,23026
Pardee RAND Graduate School,,,Private not-for-profit,102,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
University of Redlands,73,41290,Private not-for-profit,5147,14,94,93,26852,26,4765,26,4416,26,349,38,7847,93,22413,66,7511,66,6407,5,16111,28164,24032,19886,23865,29064,16802
Argosy University-San Francisco Bay Area,,13663,Private for-profit,559,4,100,100,4098,88,3784,88,3641,13,1000,0,,50,1574,88,8429,88,8429,0,,23227,21618,21775,25775,,21618
Dongguk University-Los Angeles,,,Private not-for-profit,179,21,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Saint Patrick's Seminary and University,,,Private not-for-profit,92,5,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Samuel Merritt University,,,Private not-for-profit,1542,9,,,,,,,,,,,,,,,,,,,,0,,0,,,0
San Diego State University,66,6766,Public,31899,25,62,48,10024,34,4522,34,4504,0,1243,41,3367,29,6489,35,5796,35,5207,2,14309,9856,6298,9015,12856,18825,19663
University of San Diego,75,41392,Private not-for-profit,8321,15,76,72,23048,17,4373,17,3830,16,584,12,9013,72,20538,46,8202,45,5656,16,7898,33356,32369,24585,25339,31697,20479
San Francisco Art Institute,29,38406,Private not-for-profit,680,11,90,90,15149,28,5260,28,4271,28,989,9,6589,89,13039,48,5027,48,5027,0,,40784,37527,39806,42442,32609,33800
San Francisco Conservatory of Music,69,39580,Private not-for-profit,399,6,100,100,19350,30,5486,30,4655,30,832,3,1473,100,17679,46,6441,46,6441,0,,32910,29765,23980,26020,28593,25089
San Francisco State University,45,6450,Public,29905,22,70,53,10220,47,4725,47,4480,22,519,38,2830,40,5362,46,5551,45,5192,2,12412,11654,9900,11926,15980,20919,22106
San Francisco Theological Seminary,,,Private not-for-profit,167,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
University of San Francisco,69,40294,Private not-for-profit,10112,15,71,66,23375,24,4793,24,4185,7,2295,20,8994,65,19159,52,8690,51,6082,7,20454,32369,28853,24940,28616,34319,28135
San Joaquin College of Law,,,Private not-for-profit,194,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
William Jessup University,56,24040,Private not-for-profit,1095,13,100,100,15762,47,4181,47,4096,41,97,44,8073,99,10299,96,6569,96,5817,5,14793,19019,17214,11854,15227,21544,10181
San Jose State University,48,7343,Public,31278,22,60,45,9757,40,4740,40,4553,12,648,30,2898,30,5410,40,5244,40,5244,0,,11138,9571,11441,15154,20184,21083
Westwood College-Los Angeles,35,15080,Private for-profit,672,15,99,91,5152,89,4972,89,4182,48,1480,0,,12,1969,92,13326,92,11544,61,2662,24538,22494,26763,27525,,23557
Santa Clara University,84,42156,Private not-for-profit,8770,12,84,82,18470,12,4690,12,4277,3,2193,11,9099,82,16581,41,6777,40,5189,3,20893,38844,33890,23109,27944,35717,22756
Saybrook University,,,Private not-for-profit,589,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Scripps College,84,45564,Private not-for-profit,1009,10,61,52,30707,12,4293,12,3638,3,2714,8,9223,52,28250,42,4925,37,3433,18,4280,28181,22441,14624,13479,23345,11360
Shasta Bible College and Graduate School,31,10360,Private not-for-profit,53,5,100,100,4826,83,5280,83,4960,67,400,0,,67,639,50,3000,50,3000,0,,19935,18852,0,20634,,17896
Trinity Law School,,,Private not-for-profit,216,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Simpson University,47,23300,Private not-for-profit,1255,11,100,99,16019,48,4625,48,4531,10,479,43,8116,99,10268,98,6357,98,6073,3,10250,17895,17207,14802,17562,20215,13700
Saint Mary's College of California,68,39890,Private not-for-profit,4257,13,91,89,23301,25,4657,25,4191,17,658,25,8480,89,19658,67,9163,65,5872,13,17860,33206,28717,27438,30044,32604,22828
Sonoma State University,54,7234,Public,9120,24,62,41,9087,29,4762,29,4422,7,1369,28,2966,30,5043,46,5798,46,5240,2,12002,14396,10818,12732,17652,22350,23497
South Baylo University,,,Private not-for-profit,647,16,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Vanguard University of Southern California,52,29250,Private not-for-profit,2415,15,99,98,19164,39,4928,39,4349,31,741,36,7747,97,14444,73,7750,73,6294,8,13452,22744,21496,19102,20543,25831,18317
St John's Seminary,,,Private not-for-profit,108,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Starr King School for Ministry,,,Private not-for-profit,90,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Marshall B Ketchum University,,,Private not-for-profit,397,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Southern California Institute of Architecture,50,37300,Private not-for-profit,493,15,58,58,13704,48,4590,48,4357,23,500,29,6706,26,14683,58,7172,58,7172,0,,38483,20952,30583,41633,42054,23669
University of Southern California,91,46298,Private not-for-profit,41368,9,67,59,29928,18,4709,18,4326,17,424,12,9194,59,26764,34,6895,34,5942,2,22691,29889,27541,17253,22464,32484,15610
Southwestern Law School,,,Private not-for-profit,1146,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Claremont School of Theology,,,Private not-for-profit,272,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Thomas Aquinas College,80,24500,Private not-for-profit,366,11,82,75,15887,35,4012,35,4012,0,,12,7963,73,13195,77,3414,73,3388,5,3813,19169,19121,18556,16944,18478,17145
The Santa Barbara and Ventura Colleges of Law-Ventura,,,Private not-for-profit,107,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Walden University,,11460,Private for-profit,51016,19,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Westminster Theological Seminary in California,,,Private not-for-profit,143,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Westmont College,76,38510,Private not-for-profit,1321,12,99,99,18908,21,4876,21,3984,14,1271,15,8813,99,16545,59,7755,57,5407,21,7153,32852,30505,21948,25227,30249,19378
Whittier College,67,40296,Private not-for-profit,2339,13,94,93,24126,35,4832,35,4352,6,2958,30,7924,92,19728,69,7910,67,6014,24,5825,26188,25733,22024,33616,48115,-10925
Woodbury University,45,33150,Private not-for-profit,1607,10,79,77,17444,49,4481,49,4406,3,1083,31,7120,75,12107,73,4844,73,4410,3,11200,24754,23177,22951,24019,27913,19055
The Wright Institute,,,Private not-for-profit,434,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Western State College of Law at Argosy University,,,Private for-profit,431,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Thomas Jefferson School of Law,,,Private not-for-profit,1036,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,17,13300,Private not-for-profit,131,19,83,83,14273,50,5483,50,5306,31,283,44,9223,79,6464,0,,0,,0,,9577,7844,7368,6467,9213,5675
Adams State University,23,7449,Public,3211,15,92,88,6138,51,3561,51,3226,5,3587,43,2987,68,3382,66,5977,65,5765,2,7495,11293,14705,14570,14842,14510,14808
University of Colorado Denver,41,7933,Public,22206,16,71,59,6418,37,4312,37,4207,2,2176,23,1611,50,3648,40,5439,39,5219,1,8101,12580,9870,11231,15197,18801,18822
University of Colorado Colorado Springs,46,7024,Public,11321,17,76,55,4513,29,4025,29,3940,6,446,16,2256,37,2586,50,5990,49,5278,4,9528,12167,9399,10770,13952,16053,16143
University of Colorado Boulder,70,10347,Public,32017,18,59,40,8911,17,5180,17,4149,3,6692,8,3058,39,6336,38,8233,36,5416,5,22239,20294,13636,18042,22596,25500,27065
Colorado Christian University,37,25046,Private not-for-profit,5368,14,98,97,12925,31,4375,30,3786,19,1097,16,2312,95,11449,58,7163,58,5697,8,10960,24031,23220,21429,22416,24549,20768
Colorado College,87,44222,Private not-for-profit,2061,10,53,44,29674,10,5470,10,4084,4,4082,4,1336,44,28643,37,6338,36,5677,1,22500,24526,22281,12503,18667,24737,10045
The Art Institute of Colorado,38,17632,Private for-profit,1794,20,89,74,4823,57,4344,57,4070,17,938,14,1237,53,1701,77,10841,77,8895,10,14885,26001,30397,25223,28865,29663,29568
Colorado School of Mines,70,16485,Public,5790,16,87,72,8791,16,4281,16,4080,1,2705,15,1779,72,7540,50,7624,49,5577,7,15070,23759,19966,20756,25363,27363,27375
Colorado State University-Fort Collins,64,9313,Public,31186,16,73,46,7969,24,4244,24,3859,10,974,20,1714,45,5169,46,6153,45,5124,4,13653,13487,9898,10708,14656,20861,21467
Colorado Technical University-Colorado Springs,22,11300,Private for-profit,2049,11,44,34,5506,32,5176,32,4756,15,875,1,3813,3,7721,22,8942,22,8942,0,,17593,18323,17575,20025,23475,18375
Denver Seminary,,,Private not-for-profit,990,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Westwood College-Denver North,32,15204,Private for-profit,438,22,100,93,5128,90,4910,90,3910,53,1688,7,1500,10,2667,97,14739,97,11732,77,3791,20666,16428,0,,,16196
University of Denver,78,40707,Private not-for-profit,11778,11,85,83,21661,17,4744,17,4349,2,2926,5,1605,83,20777,41,7989,40,6048,5,18348,32212,31244,23736,26656,29972,22631
Fort Lewis College,37,6923,Public,4021,21,91,81,9633,32,4223,31,4103,2,2664,36,10220,72,3863,51,5921,51,5386,2,11979,15407,10617,12326,16143,16571,17936
Iliff School of Theology,,,Private not-for-profit,349,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Colorado Mesa University,30,6725,Public,9676,23,90,71,4260,43,4190,43,4154,1,2131,36,1216,27,2788,65,8621,65,8223,4,8736,13717,13340,14328,16976,18039,0
Metropolitan State University of Denver,26,5744,Public,22752,20,68,50,4598,40,3745,40,3731,1,963,42,1020,13,2679,46,5031,46,4862,1,8539,9646,8618,9446,11365,13565,13949
Naropa University,41,28790,Private not-for-profit,992,11,63,63,16633,42,5075,42,4675,21,800,8,1500,54,15057,46,7995,46,7995,0,,25942,23374,24510,26695,36457,20859
National American University-Colorado Springs,22,12531,Private for-profit,281,12,33,33,2228,33,2228,0,,33,2228,0,,0,,0,,0,,0,,21868,18435,0,,,0
Nazarene Bible College,25,10800,Private not-for-profit,889,12,50,0,,0,,0,,0,,0,,0,,50,5500,50,5500,0,,0,,0,,,16550
University of Northern Colorado,46,6968,Public,12710,18,90,80,5878,36,4094,36,3930,3,2098,23,3003,76,3324,60,6512,59,5788,5,10264,13311,14208,15290,17702,17691,19014
Regis University,58,32424,Private not-for-profit,9722,8,98,98,19636,28,5336,28,4184,9,3537,25,4479,98,16938,54,6705,53,6171,3,11973,23873,25701,16700,20352,22791,19088
Rocky Mountain College of Art and Design,49,22470,Private for-profit,775,7,100,100,10951,40,4114,40,3824,12,1000,12,1864,98,9285,75,7882,75,6549,5,18926,28378,29469,25169,30537,30529,27444
Colorado State University-Pueblo,33,7327,Public,7089,15,94,73,5788,50,4389,50,4146,26,472,43,1287,41,3591,80,5110,80,4834,3,8334,12484,11016,11386,14682,16361,16883
United States Air Force Academy,86,,Public,3993,8,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Western State Colorado University,42,7343,Public,2404,16,91,85,4842,31,4095,31,3904,12,474,24,1133,66,3907,33,5930,33,4417,5,10180,14419,11174,13068,15192,16906,17323
Yeshiva Toras Chaim Talmudical Seminary,29,8600,Private not-for-profit,18,3,100,100,8948,0,,0,,0,,0,,100,8948,0,,0,,0,,11402,8916,0,,,0
Albertus Magnus College,61,28378,Private not-for-profit,1582,14,83,83,20323,43,4855,43,4395,27,717,54,4256,83,15057,78,9789,78,6417,19,13630,21125,20726,20713,22937,24591,17916
University of Bridgeport,28,29090,Private not-for-profit,4842,16,93,93,22649,60,5446,60,4768,32,1335,33,1876,93,18498,81,8145,81,7169,7,11109,23045,23316,21607,23902,26026,21473
Central Connecticut State University,52,8706,Public,11865,16,84,69,5836,34,4385,34,4027,21,567,37,1476,60,3318,67,6378,66,5493,6,9921,14780,12522,12850,14549,17225,19369
Charter Oak State College,,,Public,1580,14,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Connecticut College,84,46085,Private not-for-profit,1922,9,53,44,32953,12,5709,12,4492,12,1217,10,1498,44,31388,37,7075,36,5082,3,23185,25737,23409,16861,23918,29461,6060
University of Connecticut,83,12022,Public,25911,16,77,63,9378,18,4443,18,4301,2,1555,17,2532,62,7533,49,7435,48,5849,5,15546,18411,12678,14395,17834,21109,23670
Eastern Connecticut State University,51,9376,Public,5368,16,82,57,6317,26,4183,26,4031,10,389,31,1755,48,4052,72,7355,72,5850,10,10545,16333,14399,15551,17506,19339,21534
Fairfield University,82,42920,Private not-for-profit,4919,11,89,85,19855,13,4675,13,4342,5,804,8,4222,85,18839,56,9537,55,5892,10,20699,36853,27930,26975,30489,33287,15367
Rensselaer Hartford Graduate Center Inc,,,Private not-for-profit,281,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Hartford Seminary,,,Private not-for-profit,123,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
University of Hartford,59,33358,Private not-for-profit,6820,12,98,98,17350,32,4635,32,4042,13,1520,9,3596,98,15473,75,10072,74,5955,18,17552,30090,28144,27101,29140,29391,22602
Holy Apostles College and Seminary,20,10470,Private not-for-profit,385,4,71,29,3775,14,5550,14,5550,0,,0,,14,2000,71,6300,71,6300,0,,11305,,0,,15930,0
Lyme Academy College of Fine Arts,91,29616,Private not-for-profit,77,4,100,100,12308,38,4548,38,4250,8,1489,31,3588,100,9455,77,10328,69,10398,8,9700,24832,22997,25581,,28811,16781
Mitchell College,40,29458,Private not-for-profit,866,16,100,97,14385,35,4558,35,4193,19,688,20,2280,97,12268,90,7597,89,5408,13,15265,29288,27223,24901,27187,31557,19930
University of New Haven,54,33740,Private not-for-profit,6555,16,95,95,17430,28,4212,28,4030,1,4000,11,3097,95,15876,79,12280,79,6087,26,18958,30844,27926,26519,29637,31610,22216
Paier College of Art Inc,59,12960,Private for-profit,155,5,93,47,4321,47,4307,47,3357,47,950,0,,7,100,87,9258,87,6365,33,7522,13139,14762,0,14697,,9779
Post University,36,20925,Private for-profit,8082,23,100,84,9455,67,4283,67,4037,19,855,1,363,41,12292,84,9435,84,8851,9,5249,31254,26113,36341,39673,40608,29193
Quinnipiac University,76,39330,Private not-for-profit,8803,12,89,86,18365,16,4856,15,4269,5,1902,5,4800,86,17288,66,10561,65,5641,15,22375,35117,32158,27520,31674,34699,23128
Sacred Heart University,70,35050,Private not-for-profit,6983,14,95,94,14850,17,5226,16,4052,12,1839,16,2638,94,13477,68,8996,67,5487,12,20071,36347,36024,27225,30825,34370,28535
University of Saint Joseph,52,33417,Private not-for-profit,2640,10,100,99,18051,39,4587,38,4162,38,502,55,2078,98,15190,90,7693,90,5844,13,12504,25049,23206,23025,23796,26479,17248
Southern Connecticut State University,49,9020,Public,10804,14,81,57,5477,33,4408,33,4223,3,2460,11,3728,24,5188,69,6767,68,6222,5,10003,12673,11967,12758,14946,16366,17546
Tri-State College of Acupuncture,,,Private for-profit,112,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Trinity College,86,47510,Private not-for-profit,2390,9,41,38,38735,10,5244,10,4092,9,1403,6,4283,38,36926,32,6483,27,4489,7,11625,21130,18417,7451,16620,22685,7641
United States Coast Guard Academy,91,,Public,902,7,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Wesleyan University,92,47244,Private not-for-profit,3205,9,51,45,39430,18,7049,18,4659,15,2992,3,2737,44,36418,35,5315,33,3904,4,15098,21737,22154,8727,16296,22947,6627
Western Connecticut State University,44,8893,Public,6025,15,81,58,5196,30,4014,30,3890,2,1717,47,3256,3,9115,77,6225,69,5653,8,11104,14893,12778,14106,15214,16825,18576
Yale University,98,44000,Private not-for-profit,12109,6,61,51,42792,13,6199,13,4129,7,4000,1,832,50,41400,6,4786,6,4873,0,3125,16528,17254,7698,6939,14879,4345
Delaware State University,37,7336,Public,4336,16,97,90,8286,58,4259,58,4196,4,1139,40,4601,56,5681,81,7858,80,6684,7,13494,12713,12481,13454,13860,16424,8163
University of Delaware,80,12112,Public,22166,15,82,70,8292,14,4335,14,4089,3,1330,22,6106,51,7671,53,7831,53,5330,8,17804,14398,9409,14679,16083,17593,19357
Goldey-Beacom College,43,22140,Private not-for-profit,1868,23,98,98,11935,40,4675,40,4247,12,1403,5,483,97,10130,68,6545,68,6266,4,4324,20127,18706,19469,22402,17075,17895
Wesley College,22,23590,Private not-for-profit,1655,16,97,96,11710,50,4936,50,4413,30,888,7,730,93,9423,78,9037,78,6692,15,12557,22786,29245,20227,23001,24873,29724
Wilmington University,39,9950,Private not-for-profit,13621,14,87,73,2274,45,2578,45,2403,3,2500,25,975,14,1770,71,3165,67,2850,12,2915,13633,13222,14474,15526,16192,13688
American University,80,40649,Private not-for-profit,12818,12,80,72,22609,19,4305,19,4080,2,2109,6,926,71,21807,56,8424,56,6100,7,20384,32548,31447,25574,28174,30920,27022
Catholic University of America,69,38526,Private not-for-profit,6725,8,95,93,18518,11,5081,11,3847,10,1401,5,641,93,17905,63,8896,62,5699,11,18935,35611,34724,29570,30411,31225,31776
Corcoran College of Art and Design,53,31130,Private not-for-profit,548,9,81,81,18332,38,4430,38,3767,21,1195,9,3602,79,16283,70,6730,70,6621,2,3600,29274,27925,25675,25027,33605,20377
University of the District of Columbia,16,5138,Public,5011,11,86,76,5552,71,4487,70,4382,24,486,9,1613,6,15317,56,5474,55,5417,0,12000,14830,14969,15441,18367,19104,19873
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,,,Private not-for-profit,119,,,,,,,,,,,,,,,,,,,,,0,,0,,,0
Gallaudet University,48,13800,Private not-for-profit,1561,6,88,87,17324,48,4692,48,4573,31,185,63,13220,75,5859,40,5426,40,5057,1,10323,12528,10449,10759,9771,14417,8265
